galaxy,n,wrms_M0,aicc_M0,bic_M0,wrms_M1,aicc_M1,bic_M1,wrms_M2,aicc_M2,bic_M2,wrms_M3,aicc_M3,bic_M3,winner,dBIC_second_minus_best,dBIC_M2_minus_M0,dBIC_M3_minus_M0,cv_wrms_M0,cv_wrms_M1,cv_wrms_M2,cv_wrms_M3
F568-V1_rotmod,15,7.441600770494742,13.028795380915255,13.444895783119676,6.661553333471695,11.433816557878812,11.849916960083231,4.390286727451021,9.02183289602758,9.437933298232,18.007135180191167,47.011802740525965,47.011802740525965,M2,2.411983661851231,-4.006962484887676,33.56690695740629,8.6345960496697,7.9060897387187765,5.196723953360097,17.58299790060365
F571-8_rotmod,13,7.503935996881132,39.80951364505559,39.73941235997866,29.81747121148461,551.6606209112506,551.5905196261737,32.69579241147976,683.4330137773647,683.3629124922878,40.02343607616991,984.5686328562051,984.5686328562051,M0,511.851107266195,643.6235001323091,944.8292204962264,8.421484486205733,29.89925948557443,30.78552277794257,37.312671076486964
F571-V1_rotmod,7,5.2175632839439325,11.124804148932775,8.0166244470434,3.7815767927758723,9.166774570317804,6.05859486842843,5.31718641525953,12.282131175028006,9.173951473138633,13.703598169047257,28.4535928291922,28.4535928291922,M1,1.95802957861497,1.157327026095233,20.436968382148798,6.954819315685083,5.258186630913988,3.7197598141704047,13.215721055010809
F574-1_rotmod,14,7.521150393839169,43.51120134931345,43.69840691763488,6.50729124107756,33.85115580445948,34.038361372780905,5.334817955901089,26.884869947984853,27.07207551630628,10.81668062082748,79.46577652379564,79.46577652379564,M2,6.966285856474624,-16.626331401328596,35.76736960616076,7.630104717895624,7.237743246732071,5.63741584597407,10.364119721464323
F579-V1_rotmod,14,9.782297729717447,17.428130628557458,17.615336196878886,7.922041426955525,13.18205118692126,13.369256755242688,5.529637877513288,12.65186123727933,12.839066805600757,17.157664674993683,37.95351134095103,37.95351134095103,M2,0.5301899496419313,-4.776269391278129,20.338175144072146,11.7005205712343,9.426164564635759,6.219588429141467,16.072221756044463
F583-1_rotmod,25,7.227287973305742,48.329687796293506,50.22198490057536,7.110080840269225,46.92107856713605,48.8133756714179,6.229207455710746,44.602296629879675,46.494593734161526,7.490995498088616,47.037702564948226,47.037702564948226,M2,0.5431088307867,-3.727391166413831,-3.184282335627131,8.13007653100214,7.2321183592565035,6.441189979962365,7.6002987636129635
F583-4_rotmod,12,2.621462834102393,9.03762399756281,8.674103963805475,1.5506358072820392,6.629429613896357,6.2659095801390245,3.0257094174029886,12.121412371494877,11.757892337737545,16.815803120329786,152.42383184562732,152.42383184562732,M1,2.4081943836664506,3.0837883739320695,143.74972788182185,3.095841545601901,1.7341489691756102,2.7533186243641885,17.095963642477784
IC2574_rotmod,34,2.4326666211615477,21.354044884441937,24.019669159480713,2.182721647260287,18.046610865088514,20.71223514012729,5.037006327353408,117.46225196537442,120.12787624041319,20.734603126801996,1232.622223351858,1232.622223351858,M1,3.3074340193534226,96.10820708093247,1208.6025541923773,2.519053980343943,2.261184341344993,5.5026802487004804,20.78758764439963
IC4202_rotmod,32,30.174523013133555,1165.41487845638,1167.932557158531,35.58099863434791,1618.727983899702,1621.245662601853,36.85782379521438,1766.9223190863363,1769.4399977884873,54.91452330483476,3845.2646404380584,3845.2646404380584,M0,453.313105443322,601.5074406299564,2677.3320832795275,30.055478306515205,30.757231218008876,32.69338587920804,53.41433312166889
KK98-251_rotmod,15,2.2231938974655843,13.23765184288036,13.653752245084782,1.3102905044520723,7.861435343428777,8.277535745633198,3.4293573643597814,36.424058449509495,36.840158851713916,12.818249050976663,273.84584788810696,273.84584788810696,M1,5.3762164994515835,23.186406606629134,260.1920956430222,2.407834960726256,1.3338888364319978,3.387798908618638,12.768981239226358
NGC0024_rotmod,29,12.164634088349372,117.44973530169013,119.72278850012461,6.115472716883064,33.01738530664556,35.29043850508005,4.8477355418085795,25.014217966942688,27.287271165377177,6.383525518589278,31.11402352521371,31.11402352521371,M2,3.826752359836533,-92.43551733474743,-88.6087649749109,12.914325212915504,5.878608637759825,4.980352948122208,6.395100908183154
NGC0055_rotmod,21,5.546642752852805,51.95441832947867,53.37679653825885,4.70302310071624,38.66381576255351,40.08619397133369,5.942063435008218,73.45345181265446,74.87583002143464,26.415297673290173,1072.5049225297657,1072.5049225297657,M1,13.290602566925159,21.499033483175786,1019.1281259915069,5.395379055543745,4.659300191987578,5.847927830524769,26.370292933654913
NGC0100_rotmod,21,5.451739332462821,33.63690798783001,35.05928619661019,3.548609440212597,16.941012487685473,18.36339069646565,6.803083327599037,61.93373770193865,63.35611591071883,18.7941531055653,344.2924260543286,344.2924260543286,M1,16.695895500144537,28.29682971410864,309.2331398577184,5.360812908982518,3.8567432500078285,6.817252320660178,18.887308840907075
NGC0247_rotmod,26,3.5115822206545535,23.807844373027503,25.802298318635685,2.912242514194288,17.786331994798665,19.780785940406847,3.2130112247305025,25.328176683962425,27.322630629570607,15.371030439593365,369.5258414103919,369.5258414103919,M1,6.021512378228838,1.520332310934922,343.7235430917562,3.307742315695305,2.8427864020919693,3.4255774369085588,15.308489977551023
NGC0289_rotmod,28,15.929907573290524,182.11312124844034,184.29753026879075,12.192722902099508,108.54359926829748,110.72800828864789,11.528462007718916,107.05004741850463,109.23445643885503,48.602485418560015,1653.5388086918729,1653.5388086918729,M2,1.4935518497928513,-75.06307382993572,1469.2412784230821,16.487258067403538,12.440332600685958,11.602374836982104,48.4138244725981
